id,name,age,balance,created_at,is_active,comment
673,Alice,38,7039.987768,2/18/2023,TRUE,rBmrJ
479,Charlie,55,4673.586445,3/7/2023,TRUE,hIEqc
547,Charlie,45,2195.968696,8/24/2023,FALSE,KQLvH
527,Charlie,25,5471.42539,9/19/2023,TRUE,vsrkY
412,Alice,65,6258.907903,4/8/2023,FALSE,IjShE
472,Charlie,63,3540.437176,5/11/2023,TRUE,isIZZ
730,Charlie,53,4544.91431,12/11/2023,TRUE,UmeVW
693,Charlie,43,5618.757184,11/7/2023,TRUE,oaHdc
387,Bob,57,1571.117155,5/31/2023,TRUE,WzfIt
557,David,50,3361.003785,3/29/2023,TRUE,BUmHR
497,David,36,4135.609895,4/20/2023,FALSE,wYxxT
644,Alice,43,2838.82697,7/16/2023,TRUE,HTPLm
474,Alice,35,7755.655844,7/26/2023,FALSE,uSGor
713,Alice,46,6665.866456,3/9/2023,TRUE,OjfNo
335,Charlie,40,5842.366081,1/25/2023,TRUE,NBZBT
735,Alice,69,5679.851843,6/30/2023,TRUE,SlZMf
859,Charlie,46,7782.830485,10/19/2023,TRUE,aoasZ
459,Charlie,28,4229.730247,2/25/2023,TRUE,ybzlS
459,Charlie,54,5904.188994,5/30/2023,FALSE,eOxaJ
713,Charlie,58,5278.125182,2/28/2023,FALSE,xOGOx
517,David,64,5299.132176,3/30/2023,FALSE,agxuP
569,Alice,37,5905.869973,8/12/2023,TRUE,vSjuN
826,Charlie,52,2947.682928,4/15/2023,FALSE,gqNEO
359,Charlie,29,3349.472641,4/7/2023,FALSE,ASTYg
617,David,26,3759.165337,12/30/2023,FALSE,EflpH
645,Charlie,55,4983.713147,3/4/2023,FALSE,wSpGN
641,Charlie,45,3251.675057,3/11/2023,FALSE,YmMeC
518,Bob,75,5428.070219,12/6/2023,FALSE,vXOWS
419,David,39,3528.608914,7/20/2023,FALSE,vMbDc
431,Charlie,51,4354.47034,1/16/2023,TRUE,LYJRm
506,Charlie,56,7116.234926,6/5/2023,FALSE,ZCJOH
587,David,39,4371.901201,7/26/2023,TRUE,qFISz
868,Charlie,52,3681.305587,4/3/2023,FALSE,AAfeb
385,Charlie,42,6945.895922,7/20/2023,FALSE,IvTKh
922,Charlie,60,2969.258673,8/25/2023,TRUE,ftVcj
601,Alice,49,6102.445061,4/2/2023,TRUE,bvZJz
740,Charlie,38,6369.918135,10/24/2023,TRUE,hsBoK
368,Bob,42,2950.251462,6/15/2023,TRUE,YkngL
700,Alice,39,8643.060597,12/18/2023,TRUE,yoldy
226,Charlie,38,5837.326639,2/2/2023,FALSE,JmayJ
574,Charlie,49,6569.507618,4/29/2023,FALSE,rniMS
692,Charlie,46,2228.964334,9/21/2023,FALSE,OALub
760,Charlie,38,4259.516364,11/23/2023,TRUE,tKHZZ
775,Charlie,56,5742.368508,3/22/2023,TRUE,maoTQ
790,Charlie,48,5375.678371,12/24/2023,TRUE,fiDIZ
631,David,43,6134.348891,3/12/2023,FALSE,NlbGC
213,David,43,3069.858032,6/1/2023,TRUE,VDApe
740,Charlie,39,7457.208097,4/25/2023,TRUE,TQiKs
681,Charlie,71,4028.67564,6/4/2023,TRUE,wSRjp
634,Charlie,71,4180.628679,11/26/2023,FALSE,QVeRz
434,Charlie,66,8907.273629,9/25/2023,TRUE,EdJJI
